Date 27.05.23, Time 21:26:46, Uptime:  21:26:46 up  1:22,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=52.1'C, CPU_temp: 51.1°C, CPU_load: 4.1%
Date 27.05.23, Time 21:27:47, Uptime:  21:27:47 up  1:23,  4 users,  load average: 0.07, 0.02, 0.00, Load average:  0.07, 0.02, 0.00, GPU_temp=temp=52.1'C, CPU_temp: 52.1°C, CPU_load: 5.3%
Date 27.05.23, Time 21:28:47, Uptime:  21:28:47 up  1:24,  4 users,  load average: 0.02, 0.01, 0.00, Load average:  0.02, 0.01, 0.00, GPU_temp=temp=52.5'C, CPU_temp: 52.6°C, CPU_load: 5.5%
Date 27.05.23, Time 21:29:47, Uptime:  21:29:47 up  1:25,  4 users,  load average: 0.01, 0.00, 0.00, Load average:  0.01, 0.00, 0.00, GPU_temp=temp=52.1'C, CPU_temp: 52.1°C, CPU_load: 5.5%
Date 27.05.23, Time 21:30:48, Uptime:  21:30:48 up  1:26,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=52.1'C, CPU_temp: 52.6°C, CPU_load: 5.4%
Date 27.05.23, Time 21:31:48, Uptime:  21:31:48 up  1:27,  4 users,  load average: 0.09, 0.03, 0.01, Load average:  0.09, 0.03, 0.01, GPU_temp=temp=51.6'C, CPU_temp: 52.1°C, CPU_load: 5.5%
Date 27.05.23, Time 21:32:48, Uptime:  21:32:48 up  1:28,  4 users,  load average: 0.03, 0.02, 0.00, Load average:  0.03, 0.02, 0.00, GPU_temp=temp=52.1'C, CPU_temp: 52.1°C, CPU_load: 5.3%
Date 27.05.23, Time 21:33:49, Uptime:  21:33:49 up  1:29,  4 users,  load average: 0.01, 0.02, 0.00, Load average:  0.01, 0.02, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 51.1°C, CPU_load: 4.1%
Date 27.05.23, Time 21:34:49, Uptime:  21:34:49 up  1:30,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 51.6°C, CPU_load: 5.4%
Date 27.05.23, Time 21:35:49, Uptime:  21:35:49 up  1:31,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 51.1°C, CPU_load: 4.1%
Date 27.05.23, Time 21:36:49, Uptime:  21:36:49 up  1:32,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 51.1°C, CPU_load: 5.5%
Date 27.05.23, Time 21:37:50, Uptime:  21:37:50 up  1:33,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=50.1'C, CPU_temp: 50.1°C, CPU_load: 4.2%
Date 27.05.23, Time 21:38:50, Uptime:  21:38:50 up  1:34,  4 users,  load average: 0.06, 0.01, 0.00, Load average:  0.06, 0.01, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 51.1°C, CPU_load: 5.5%
Date 27.05.23, Time 21:39:50, Uptime:  21:39:50 up  1:35,  4 users,  load average: 0.05, 0.02, 0.00, Load average:  0.05, 0.02, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 51.6°C, CPU_load: 4.2%
Date 27.05.23, Time 21:40:51, Uptime:  21:40:51 up  1:36,  4 users,  load average: 0.02, 0.02, 0.00, Load average:  0.02, 0.02, 0.00, GPU_temp=temp=52.1'C, CPU_temp: 52.1°C, CPU_load: 4.1%
Date 27.05.23, Time 21:41:51, Uptime:  21:41:51 up  1:37,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 51.6°C, CPU_load: 5.4%
Date 27.05.23, Time 21:42:51, Uptime:  21:42:51 up  1:38,  4 users,  load average: 0.00, 0.01, 0.00, Load average:  0.00, 0.01, 0.00, GPU_temp=temp=53.0'C, CPU_temp: 51.1°C, CPU_load: 5.3%
Date 27.05.23, Time 21:43:51, Uptime:  21:43:51 up  1:39,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=51.6'C, CPU_temp: 51.6°C, CPU_load: 5.5%
Date 27.05.23, Time 21:44:52, Uptime:  21:44:52 up  1:40,  4 users,  load average: 0.00, 0.00, 0.00, Load average:  0.00, 0.00, 0.00, GPU_temp=temp=52.1'C, CPU_temp: 52.1°C, CPU_load: 5.5%
Date 27.05.23, Time 21:45:52, Uptime:  21:45:52 up  1:41,  4 users,  load average: 0.06, 0.02, 0.00, Load average:  0.06, 0.02, 0.00, GPU_temp=temp=52.1'C, CPU_temp: 51.1°C, CPU_load: 4.2%
Date 27.05.23, Time 21:46:52, Uptime:  21:46:52 up  1:42,  4 users,  load average: 0.02, 0.01, 0.00, Load average:  0.02, 0.01, 0.00, GPU_temp=temp=50.6'C, CPU_temp: 50.6°C, CPU_load: 6.4%
Date 27.05.23, Time 21:47:53, Uptime:  21:47:53 up  1:43,  4 users,  load average: 0.01, 0.00, 0.00, Load average:  0.01, 0.00, 0.00, GPU_temp=temp=51.1'C, CPU_temp: 51.1°C, CPU_load: 6.6%
